"Review_ID";"review_date";"rating";"userID"
521;"2023-12-07";3.6;221
522;"2023-12-08";4.1;222
523;"2023-12-09";3.9;223
524;"2023-12-10";4.8;224
525;"2023-12-11";3.2;225
526;"2023-12-12";4.5;226
527;"2023-12-13";3.7;227
528;"2023-12-14";4.2;228
529;"2023-12-15";3.5;229
530;"2023-12-16";4.6;230
531;"2023-12-17";3.8;231
532;"2023-12-18";4.0;232
533;"2023-12-19";3.4;233
534;"2023-12-20";4.7;234
535;"2023-12-21";3.9;235
536;"2023-12-22";4.3;236
537;"2023-12-23";3.5;237
538;"2023-12-24";4.9;238
539;"2023-12-25";3.6;239
540;"2023-12-26";4.4;240
541;"2023-12-27";3.7;241
542;"2023-12-28";4.1;242
543;"2023-12-29";3.8;243
544;"2023-12-30";4.2;244
545;"2023-12-31";3.9;245
546;"2024-01-01";4.6;246
547;"2024-01-02";3.5;247
548;"2024-01-03";4.0;248
549;"2024-01-04";3.2;249
550;"2024-01-05";4.3;250
